Thecrawfordhotel.com-0074-2016Redesign;en-US;android-app://com.google.android.googlequicksearchbox/;17667;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;http://m.facebook.com/;8282;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;https://www.google.co.in/;28158;1;0
Thesagamore.com-0112-2017Redesign;en-US;https://duckduckgo.com/;32339;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;http://www.fla-keys.com/webcams/marriott-key-largo-bay/;3948;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;http://www.fla-keys.com/webcams/marriott-key-largo-bay/;3964;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;http://surfinggator.com/florida-keys/live-cams/live-cams.html;3948;1;0
Thesagamore.com-0112-2017Redesign;en-US;https://www.google.com/;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://www.google.com/;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://tpc.googlesyndication.com/safeframe/1-0-10/html/container.html;16728;1;0
Thesagamore.com-0112-2017Redesign;en-US;https://www.google.com/;32339;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;https://www.google.com/;28666;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;https://www.google.com/;28666;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.sunny.org/webcam/;7831;1;0
Sandylane.com-0075-2016Redesign;en-US;https://www.google.co.uk/;17611;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;https://www.google.co.in/;28158;1;0
Oxfordclubspa.com-0068-2016Redesign;en-US;http://www.thecrawfordhotel.com/denver-special-offers-deals/;15568;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;https://www.google.co.in/;28158;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.sunny.org/webcam/;7831;1;0
Sandpearl.com-0091-2016Redesign;en-US;https://www.google.com/;22481;1;0
Opalsands.com-0084-2016Redesign;en-US;http://www.beachtourism.com/opalsandsresort/;20171;1;0
Galthouse.com-0042-2015Redesign;en-US;https://lechenie-gemorroya.com/;9789;1;0
Galthouse.com-0042-2015Redesign;en-US;https://lechenie-gemorroya.com/;9789;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.sunny.org/webcam/;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
shop.broadmoor.com-0096-2016ShoppingCart;en-US;https://www.broadmoor.com/activities/retail/;26973;1;0
